Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
Afghanistan,1961,8790140,319000,0.03629066,36.29066,1.5189999,210000,0.023890404,238.90404,0,0,0,,,,213000,0.024231697,24.231697,183000,0.020818781,20.818781,,,,,,,15000,0.001706458,1.7064575,20.8414,57.09972546,212.76361,4.0745654,0.3972701
Afghanistan,1962,8969055,319000,0.035566736,35.566736,1.5189999,210000,0.023413839,234.13839,0,0,0,,,,213000,0.023748321,23.748321,183000,0.020403488,20.403488,,,,,,,15000,0.001672417,1.672417,20.42642,55.96279396,208.5146,3.995587,0.39752012
Afghanistan,1963,9157463,319000,0.034834977,34.834977,1.5189999,210000,0.022932116,229.32116,0,0,0,,,,213000,0.023259718,23.259718,182000,0.0198745,19.8745,,,,,,,15000,0.001638008,1.6380083,19.929495,54.60135562,203.44606,3.8961446,0.38757458
Afghanistan,1964,9355510,380000,0.040617775,40.617775,1.7272999,220000,0.023515554,235.15554,0,0,0,,,,253000,0.027042886,27.042886,220000,0.023515554,23.515554,,,,,,,18000,0.001924,1.9239999,23.552404,64.5271336,240.4325,4.6023116,0.449006
Afghanistan,1965,9565154,380000,0.039727535,39.727535,1.7272999,220000,0.023000153,230.00153,0,0,0,,,,253000,0.026450176,26.450176,220000,0.023000153,23.000153,,,,,,,18000,0.001881831,1.8818306,23.02114,63.07161581,235.01982,4.5021386,0.43898407
Afghanistan,1966,9783153,337000,0.034446973,34.446973,1.518,222000,0.022692071,226.92071,0,0,0,,,,225000,0.02299872,22.99872,195000,0.019932223,19.932223,,,,,,,16000,0.001635465,1.6354646,19.891869,54.49827069,203.1156,3.8905554,0.3880344
Afghanistan,1967,10010037,396000,0.039560292,39.560292,1.9223,206000,0.020579344,205.79344,0,0,0,,,,264000,0.02637353,26.37353,231000,0.023076838,23.076838,,,,,,,18000,0.001798195,1.7981952,23.09898,63.28487608,235.84038,4.5135937,0.449317
Afghanistan,1968,10247782,402000,0.039228,39.228,1.9514999,206000,0.02010191,201.0191,0,0,0,,,,268000,0.026152,26.152,235000,0.022931792,22.931792,,,,,,,19000,0.00185406,1.8540598,22.928055,62.81658841,234.07042,4.4834814,0.4391565
Afghanistan,1969,10494491,407000,0.038782254,38.782254,1.9756999,206000,0.019629346,196.29346,0,0,0,,,,271000,0.025823072,25.823072,238000,0.022678565,22.678565,,,,,,,19000,0.001810474,1.8104737,22.706303,62.20904869,231.85782,4.436981,0.43960875
Afghanistan,1970,10752973,366000,0.0340371,34.0371,1.8118999,202000,0.018785503,187.85503,0,0,0,,,,244000,0.022691399,22.691399,213000,0.019808475,19.808475,,,,,,,17000,0.001580958,1.5809581,19.813074,54.28239398,202.26956,3.872462,0.37905052
Afghanistan,1971,11015853,350000,0.031772394,31.772394,1.75,200000,0.018155653,181.55653,3000,0.000272335,0.2723348,,,,236000,0.02142367,21.42367,205000,0.018609544,18.609544,,,,,,,16000,0.001452452,1.4524522,18.645784,51.08433922,190.3638,3.638703,0.3597588
Afghanistan,1972,11286753,400000,0.035439774,35.439774,1.9047999,210000,0.018605882,186.05882,0,0,0,,,,267000,0.02365605,23.65605,233000,0.02064367,20.64367,,,,,,,19000,0.001683389,1.6833894,20.68462,56.67019121,211.1482,4.0440755,0.40234423
Afghanistan,1973,11575308,420000,0.03628413,36.28413,2,210000,0.018142065,181.42065,0,0,0,,,,280000,0.024189422,24.189422,246000,0.021252135,21.252135,,,,,,,20000,0.001727816,1.7278158,21.23327,58.17334188,216.82953,4.1453466,0.41350088
